"","year","month","president","mipall_count","midall_count","inflation","ch_inflation_lag_1mth","ch_inflation_lag_2mth","ch_inflation_lag_3mth","monthly_approval","election","pres_sec_term","unified","democrat","coldwar","party","fine_tune_temp0","fine_tune_lag_1mth","mipall_count_lag1","unemp","employment_lag_1mth","misery","misery_lag_1mth","post_9_11"
"45",1948,12,"Harry S. Truman",0,0,-0.5,-0.600000023841858,-0.200000002980232,-0.300000011920929,NA,1,0,0,1,1,"Democrat",1.16666666666667,1.16666666666667,1,4,3.79999995231628,3.5,3.19999992847443,0
"46",1949,1,"Harry S. Truman",0,0,-0.200000002980232,-0.5,-0.600000023841858,-0.200000002980232,69,0,1,1,1,1,"Democrat",1.54545454545455,1.16666666666667,0,4.30000019073486,4,4.10000018775463,3.5,0
"47",1949,2,"Harry S. Truman",0,0,-0.400000005960464,-0.200000002980232,-0.5,-0.600000023841858,NA,0,1,1,1,1,"Democrat",1.16666666666667,1.54545454545455,0,4.69999980926514,4.30000019073486,4.29999980330467,4.10000018775463,0
"48",1949,3,"Harry S. Truman",0,0,0,-0.400000005960464,-0.200000002980232,-0.5,57,0,1,1,1,1,"Democrat",1.07692307692308,1.16666666666667,0,5,4.69999980926514,5,4.29999980330467,0
"49",1949,4,"Harry S. Truman",0,0,0,0,-0.400000005960464,-0.200000002980232,NA,0,1,1,1,1,"Democrat",2.30769230769231,1.07692307692308,0,5.30000019073486,5,5.30000019073486,5,0
"50",1949,5,"Harry S. Truman",0,0,0,0,0,-0.400000005960464,51,0,1,1,1,1,"Democrat",1.33333333333333,2.30769230769231,0,6.09999990463257,5.30000019073486,6.09999990463257,5.30000019073486,0
"51",1949,6,"Harry S. Truman",0,0,0,0,0,0,57,0,1,1,1,1,"Democrat",1.63636363636364,1.33333333333333,0,6.19999980926514,6.09999990463257,6.19999980926514,6.09999990463257,0
"52",1949,7,"Harry S. Truman",0,0,-0.899999976158142,0,0,0,NA,0,1,1,1,1,"Democrat",2.375,1.63636363636364,0,6.69999980926514,6.19999980926514,5.799999833107,6.19999980926514,0
"53",1949,8,"Harry S. Truman",1,0,0,-0.899999976158142,0,0,NA,0,1,1,1,1,"Democrat",1.52941176470588,2.375,0,6.80000019073486,6.69999980926514,6.80000019073486,5.799999833107,0
"54",1949,9,"Harry S. Truman",0,0,0.200000002980232,0,-0.899999976158142,0,48.6666679382324,0,1,1,1,1,"Democrat",1.07692307692308,1.52941176470588,1,6.59999990463257,6.80000019073486,6.7999999076128,6.80000019073486,0
"55",1949,10,"Harry S. Truman",2,2,-0.300000011920929,0.200000002980232,0,-0.899999976158142,NA,0,1,1,1,1,"Democrat",2.18181818181818,1.07692307692308,0,7.90000009536743,6.59999990463257,7.6000000834465,6.7999999076128,0
"56",1949,11,"Harry S. Truman",0,0,0.100000001490116,-0.300000011920929,0.200000002980232,0,NA,0,1,1,1,1,"Democrat",1.61538461538462,2.18181818181818,2,6.40000009536743,7.90000009536743,6.50000009685755,7.6000000834465,0
"57",1949,12,"Harry S. Truman",0,0,-0.400000005960464,0.100000001490116,-0.300000011920929,0.200000002980232,NA,0,1,1,1,1,"Democrat",1.8,1.61538461538462,0,6.59999990463257,6.40000009536743,6.1999998986721,6.50000009685755,0
"58",1950,1,"Harry S. Truman",0,0,-0.400000005960464,-0.400000005960464,0.100000001490116,-0.300000011920929,45,0,1,1,1,1,"Democrat",1.90909090909091,1.8,0,6.5,6.59999990463257,6.09999999403954,6.1999998986721,0
"59",1950,2,"Harry S. Truman",0,0,0.400000005960464,-0.400000005960464,-0.400000005960464,0.100000001490116,37,0,1,1,1,1,"Democrat",1.7,1.90909090909091,0,6.40000009536743,6.5,6.8000001013279,6.09999999403954,0
"60",1950,3,"Harry S. Truman",0,0,0.100000001490116,0.400000005960464,-0.400000005960464,-0.400000005960464,NA,0,1,1,1,1,"Democrat",1.5,1.7,0,6.30000019073486,6.40000009536743,6.40000019222498,6.8000001013279,0
"61",1950,4,"Harry S. Truman",0,0,0,0.100000001490116,0.400000005960464,-0.400000005960464,NA,0,1,1,1,1,"Democrat",2.5,1.5,0,5.80000019073486,6.30000019073486,5.80000019073486,6.40000019222498,0
"62",1950,5,"Harry S. Truman",0,0,0.5,0,0.100000001490116,0.400000005960464,41,0,1,1,1,1,"Democrat",2.20689655172414,2.5,0,5.5,5.80000019073486,6,5.80000019073486,0
"63",1950,6,"Harry S. Truman",1,0,0.5,0.5,0,0.100000001490116,37,0,1,1,1,1,"Democrat",2.33333333333333,2.20689655172414,0,5.40000009536743,5.5,5.90000009536743,6,0
"64",1950,7,"Harry S. Truman",0,0,0.800000011920929,0.5,0.5,0,42.5,0,1,1,1,1,"Democrat",3.75,2.33333333333333,1,5,5.40000009536743,5.80000001192093,5.90000009536743,0
"65",1950,8,"Harry S. Truman",0,0,0.5,0.800000011920929,0.5,0.5,43,0,1,1,1,1,"Democrat",2.33333333333333,3.75,0,4.5,5,5,5.80000001192093,0
"66",1950,9,"Harry S. Truman",0,0,0.600000023841858,0.5,0.800000011920929,0.5,35,0,1,1,1,1,"Democrat",2.66666666666667,2.33333333333333,0,4.40000009536743,4.5,5.00000011920929,5,0
"67",1950,10,"Harry S. Truman",1,0,0.699999988079071,0.600000023841858,0.5,0.800000011920929,39.5,0,1,1,1,1,"Democrat",3.28571428571429,2.66666666666667,0,4.19999980926514,4.40000009536743,4.89999979734421,5.00000011920929,0
"68",1950,11,"Harry S. Truman",0,0,0.400000005960464,0.699999988079071,0.600000023841858,0.5,NA,0,1,1,1,1,"Democrat",2.85714285714286,3.28571428571429,1,4.19999980926514,4.19999980926514,4.5999998152256,4.89999979734421,0
"69",1950,12,"Harry S. Truman",0,0,1.5,0.400000005960464,0.699999988079071,0.600000023841858,33,0,1,1,1,1,"Democrat",2.7,2.85714285714286,0,4.30000019073486,4.19999980926514,5.80000019073486,4.5999998152256,0
"70",1951,1,"Harry S. Truman",0,0,1.60000002384186,1.5,0.400000005960464,0.699999988079071,36,0,1,1,1,1,"Democrat",1.92307692307692,2.7,0,3.70000004768372,4.30000019073486,5.30000007152557,5.80000019073486,0
"71",1951,2,"Harry S. Truman",1,1,1.79999995231628,1.60000002384186,1.5,0.400000005960464,26,0,1,1,1,1,"Democrat",1.61538461538462,1.92307692307692,0,3.40000009536743,3.70000004768372,5.20000004768372,5.30000007152557,0
"72",1951,3,"Harry S. Truman",0,0,0.200000002980232,1.79999995231628,1.60000002384186,1.5,27.5,0,1,1,1,1,"Democrat",2,1.61538461538462,1,3.40000009536743,3.40000009536743,3.60000009834766,5.20000004768372,0
"73",1951,4,"Harry S. Truman",0,0,0.200000002980232,0.200000002980232,1.79999995231628,1.60000002384186,24,0,1,1,1,1,"Democrat",3.11111111111111,2,0,3.09999990463257,3.40000009536743,3.2999999076128,3.60000009834766,0
"74",1951,5,"Harry S. Truman",1,0,0.300000011920929,0.200000002980232,0.200000002980232,1.79999995231628,24,0,1,1,1,1,"Democrat",2.53846153846154,3.11111111111111,0,3,3.09999990463257,3.30000001192093,3.2999999076128,0
"75",1951,6,"Harry S. Truman",0,0,-0.200000002980232,0.300000011920929,0.200000002980232,0.200000002980232,25,0,1,1,1,1,"Democrat",1.38461538461538,2.53846153846154,1,3.20000004768372,3,3.00000004470348,3.30000001192093,0
"76",1951,7,"Harry S. Truman",0,0,-0.100000001490116,-0.200000002980232,0.300000011920929,0.200000002980232,29,0,1,1,1,1,"Democrat",1.78571428571429,1.38461538461538,0,3.09999990463257,3.20000004768372,2.99999990314245,3.00000004470348,0
"77",1951,8,"Harry S. Truman",0,0,-0.200000002980232,-0.100000001490116,-0.200000002980232,0.300000011920929,31,0,1,1,1,1,"Democrat",2,1.78571428571429,0,3.09999990463257,3.09999990463257,2.89999990165234,2.99999990314245,0
"78",1951,9,"Harry S. Truman",0,0,0.699999988079071,-0.200000002980232,-0.100000001490116,-0.200000002980232,32,0,1,1,1,1,"Democrat",2,2,0,3.29999995231628,3.09999990463257,3.99999994039536,2.89999990165234,0
"79",1951,10,"Harry S. Truman",0,0,0.5,0.699999988079071,-0.200000002980232,-0.100000001490116,29,0,1,1,1,1,"Democrat",1.47826086956522,2,0,3.5,3.29999995231628,4,3.99999994039536,0
"80",1951,11,"Harry S. Truman",0,0,0.600000023841858,0.5,0.699999988079071,-0.200000002980232,23,0,1,1,1,1,"Democrat",2.6,1.47826086956522,0,3.5,3.5,4.10000002384186,4,0
"81",1951,12,"Harry S. Truman",0,0,0.600000023841858,0.600000023841858,0.5,0.699999988079071,NA,0,1,1,1,1,"Democrat",2.33333333333333,2.6,0,3.09999990463257,3.5,3.69999992847443,4.10000002384186,0
"82",1952,1,"Harry S. Truman",0,0,-0.100000001490116,0.600000023841858,0.600000023841858,0.5,24,1,1,1,1,1,"Democrat",2,2.33333333333333,0,3.20000004768372,3.09999990463257,3.1000000461936,3.69999992847443,0
"83",1952,2,"Harry S. Truman",0,0,-0.200000002980232,-0.100000001490116,0.600000023841858,0.600000023841858,22,1,1,1,1,1,"Democrat",1.46153846153846,2,0,3.09999990463257,3.20000004768372,2.89999990165234,3.1000000461936,0
"84",1952,3,"Harry S. Truman",0,0,-0.100000001490116,-0.200000002980232,-0.100000001490116,0.600000023841858,NA,1,1,1,1,1,"Democrat",3.28571428571429,1.46153846153846,0,2.90000009536743,3.09999990463257,2.80000009387732,2.89999990165234,0
"85",1952,4,"Harry S. Truman",0,0,0.300000011920929,-0.100000001490116,-0.200000002980232,-0.100000001490116,28,1,1,1,1,1,"Democrat",2.5625,3.28571428571429,0,2.90000009536743,2.90000009536743,3.20000010728836,2.80000009387732,0
"86",1952,5,"Harry S. Truman",0,0,0,0.300000011920929,-0.100000001490116,-0.200000002980232,29,1,1,1,1,1,"Democrat",2.0952380952381,2.5625,0,3,2.90000009536743,3,3.20000010728836,0
"87",1952,6,"Harry S. Truman",0,0,0.200000002980232,0,0.300000011920929,-0.100000001490116,32,1,1,1,1,1,"Democrat",1.39130434782609,2.0952380952381,0,3,3,3.20000000298023,3,0
"88",1952,7,"Harry S. Truman",0,0,0.600000023841858,0.200000002980232,0,0.300000011920929,29,1,1,1,1,1,"Democrat",1,1.39130434782609,0,3.20000004768372,3,3.80000007152557,3.20000000298023,0
"89",1952,8,"Harry S. Truman",1,1,0,0.600000023841858,0.200000002980232,0,NA,1,1,1,1,1,"Democrat",1,1,0,3.40000009536743,3.20000004768372,3.40000009536743,3.80000007152557,0
"90",1952,9,"Harry S. Truman",0,0,-0.200000002980232,0,0.600000023841858,0.200000002980232,NA,1,1,1,1,1,"Democrat",1.30434782608696,1,1,3.09999990463257,3.40000009536743,2.89999990165234,3.40000009536743,0
"91",1952,10,"Harry S. Truman",0,0,0.200000002980232,-0.200000002980232,0,0.600000023841858,32,1,1,1,1,1,"Democrat",2.61702127659574,1.30434782608696,0,3,3.09999990463257,3.20000000298023,2.89999990165234,0
"92",1952,11,"Harry S. Truman",0,0,0,0.200000002980232,-0.200000002980232,0,NA,1,1,1,1,1,"Democrat",2.4,2.61702127659574,0,2.79999995231628,3,2.79999995231628,3.20000000298023,0
"93",1952,12,"Harry S. Truman",0,0,0.100000001490116,0,0.200000002980232,-0.200000002980232,32,1,1,1,1,1,"Democrat",2.4,2.4,0,2.70000004768372,2.79999995231628,2.80000004917383,2.79999995231628,0
"94",1953,1,"Harry S. Truman",0,0,-0.300000011920929,0.100000001490116,0,0.200000002980232,NA,0,1,1,1,1,"Democrat",5,2.4,0,2.90000009536743,2.70000004768372,2.6000000834465,2.80000004917383,0
"95",1953,2,"Dwight D. Eisenhower",2,1,-0.200000002980232,-0.300000011920929,0.100000001490116,0,67.5,0,0,1,0,1,"Republican",1.8,NA,NA,2.59999990463257,2.90000009536743,2.39999990165234,NA,0
"96",1953,3,"Dwight D. Eisenhower",1,1,0.200000002980232,-0.200000002980232,-0.300000011920929,0.100000001490116,74,0,0,1,0,1,"Republican",1.14285714285714,1.8,2,2.59999990463257,2.59999990463257,2.7999999076128,2.39999990165234,0
"97",1953,4,"Dwight D. Eisenhower",0,0,0.200000002980232,0.200000002980232,-0.200000002980232,-0.300000011920929,73,0,0,1,0,1,"Republican",2.85714285714286,1.14285714285714,1,2.70000004768372,2.59999990463257,2.90000005066395,2.7999999076128,0
"98",1953,5,"Dwight D. Eisenhower",0,0,0,0.200000002980232,0.200000002980232,-0.200000002980232,74,0,0,1,0,1,"Republican",2.33333333333333,2.85714285714286,0,2.5,2.70000004768372,2.5,2.90000005066395,0
"99",1953,6,"Dwight D. Eisenhower",0,0,0.300000011920929,0,0.200000002980232,0.200000002980232,NA,0,0,1,0,1,"Republican",1.81818181818182,2.33333333333333,0,2.5,2.5,2.80000001192093,2.5,0
"100",1953,7,"Dwight D. Eisenhower",1,0,0.100000001490116,0.300000011920929,0,0.200000002980232,71,0,0,1,0,1,"Republican",2.5,1.81818181818182,0,2.59999990463257,2.5,2.69999990612268,2.80000001192093,0
"101",1953,8,"Dwight D. Eisenhower",1,1,0.200000002980232,0.100000001490116,0.300000011920929,0,74,0,0,1,0,1,"Republican",3,2.5,1,2.70000004768372,2.59999990463257,2.90000005066395,2.69999990612268,0
"102",1953,9,"Dwight D. Eisenhower",0,0,0.100000001490116,0.200000002980232,0.100000001490116,0.300000011920929,61,0,0,1,0,1,"Republican",1.28571428571429,3,1,2.90000009536743,2.70000004768372,3.00000009685755,2.90000005066395,0
"103",1953,10,"Dwight D. Eisenhower",0,0,0.200000002980232,0.100000001490116,0.200000002980232,0.100000001490116,65,0,0,1,0,1,"Republican",1.2,1.28571428571429,0,3.09999990463257,2.90000009536743,3.2999999076128,3.00000009685755,0
"104",1953,11,"Dwight D. Eisenhower",0,0,-0.400000005960464,0.200000002980232,0.100000001490116,0.200000002980232,60,0,0,1,0,1,"Republican",1.54545454545455,1.2,0,3.5,3.09999990463257,3.09999999403954,3.2999999076128,0
"105",1953,12,"Dwight D. Eisenhower",0,0,0.100000001490116,-0.400000005960464,0.200000002980232,0.100000001490116,69,0,0,1,0,1,"Republican",2.14285714285714,1.54545454545455,0,4.5,3.5,4.60000000149012,3.09999999403954,0
